,Beach_Name,Measurement_Date_And_Time,Water_Temperature,Turbidity,Transducer_Depth,Wave_Height,Wave_Period,Battery_Life,Measurement_ID,Metrics,Is_Exception
98,Calumet Beach,2014-05-30T12:00:00,17.2,1.46,1.496,0.116,3.0,11.6,CalumetBeach201405301200,532.8399999999999,1
99,Calumet Beach,2014-05-30T13:00:00,17.4,1.52,1.525,0.108,3.0,11.6,CalumetBeach201405301300,525.0799999999999,1
100,Montrose Beach,2014-05-30T13:00:00,16.1,4.71,1.472,0.199,3.0,11.8,MontroseBeach201405301300,648.3399999999999,1
101,Montrose Beach,2014-05-30T14:00:00,16.4,4.43,1.429,0.226,2.0,11.8,MontroseBeach201405301400,690.72,1
102,Calumet Beach,2014-05-30T14:00:00,17.5,1.58,1.523,0.115,3.0,11.6,CalumetBeach201405301400,537.8199999999999,1
103,Calumet Beach,2014-05-30T15:00:00,17.8,1.52,1.512,0.14,2.0,11.6,CalumetBeach201405301500,578.08,1
104,Montrose Beach,2014-05-30T15:00:00,16.7,4.62,1.437,0.196,2.0,11.8,MontroseBeach201405301500,652.48,1
105,Montrose Beach,2014-05-30T16:00:00,16.8,4.41,1.403,0.229,2.0,11.8,MontroseBeach201405301600,703.14,1
106,Calumet Beach,2014-05-30T16:00:00,17.7,1.48,1.568,0.129,3.0,11.6,CalumetBeach201405301600,562.4200000000001,1
107,Montrose Beach,2014-05-30T17:00:00,16.8,4.31,1.438,0.23,3.0,11.8,MontroseBeach201405301700,707.24,1
108,Calumet Beach,2014-05-30T17:00:00,17.6,1.42,1.518,0.141,2.0,11.6,CalumetBeach201405301700,575.18,1
109,Calumet Beach,2014-05-30T18:00:00,17.7,1.43,1.407,0.141,3.0,11.6,CalumetBeach201405301800,580.22,1
110,Montrose Beach,2014-05-30T18:00:00,16.7,4.16,1.44,0.219,2.0,11.8,MontroseBeach201405301800,685.14,1
111,Montrose Beach,2014-05-30T19:00:00,16.8,4.4,1.385,0.201,2.0,11.8,MontroseBeach201405301900,661.1,1
112,Calumet Beach,2014-05-30T19:00:00,17.7,1.39,1.474,0.147,2.0,11.6,CalumetBeach201405301900,586.06,1
113,Montrose Beach,2014-05-30T20:00:00,16.7,4.05,1.392,0.201,2.0,11.8,MontroseBeach201405302000,657.7,1
114,Calumet Beach,2014-05-30T20:00:00,17.6,1.44,1.508,0.163,3.0,11.6,CalumetBeach201405302000,611.26,1
115,Montrose Beach,2014-05-30T21:00:00,16.7,4.17,1.362,0.178,2.0,11.8,MontroseBeach201405302100,623.6800000000001,1
116,Calumet Beach,2014-05-30T21:00:00,17.8,1.41,1.443,0.157,3.0,11.6,CalumetBeach201405302100,606.14,1
117,Calumet Beach,2014-05-30T22:00:00,17.8,1.45,1.441,0.144,3.0,11.6,CalumetBeach201405302200,586.8,1
118,Montrose Beach,2014-05-30T22:00:00,16.5,3.83,1.412,0.16,2.0,11.8,MontroseBeach201405302200,591.3199999999999,1
119,Calumet Beach,2014-05-30T23:00:00,17.6,1.44,1.496,0.155,3.0,11.6,CalumetBeach201405302300,599.26,1
120,Montrose Beach,2014-05-30T23:00:00,16.5,3.94,1.393,0.182,3.0,11.8,MontroseBeach201405302300,627.76,1
121,Montrose Beach,2014-05-31T00:00:00,16.5,3.63,1.428,0.168,2.0,11.8,MontroseBeach201405312400,602.52,1
122,Calumet Beach,2014-05-31T00:00:00,17.2,1.58,1.506,0.144,3.0,11.6,CalumetBeach201405312400,575.3199999999999,1
123,Calumet Beach,2014-05-31T01:00:00,17.1,1.43,1.525,0.132,3.0,11.6,CalumetBeach201405310100,554.72,1
124,Montrose Beach,2014-05-31T01:00:00,16.4,3.68,1.434,0.152,2.0,11.8,MontroseBeach201405310100,576.72,1
125,Montrose Beach,2014-05-31T02:00:00,16.3,3.56,1.473,0.144,3.0,11.8,MontroseBeach201405310200,565.24,1
126,Calumet Beach,2014-05-31T02:00:00,17.0,1.44,1.515,0.137,3.0,11.6,CalumetBeach201405310200,560.26,1
127,Montrose Beach,2014-05-31T03:00:00,16.2,3.38,1.444,0.147,3.0,11.8,MontroseBeach201405310300,567.02,1
128,Calumet Beach,2014-05-31T03:00:00,16.8,1.5,1.581,0.136,3.0,11.6,CalumetBeach201405310300,555.0,1
129,Montrose Beach,2014-05-31T04:00:00,16.0,3.08,1.438,0.166,3.0,11.8,MontroseBeach201405310400,590.3199999999999,1
130,Calumet Beach,2014-05-31T04:00:00,16.8,1.71,1.517,0.133,4.0,11.6,CalumetBeach201405310400,554.3399999999999,1
131,Montrose Beach,2014-05-31T05:00:00,16.0,3.0,1.449,0.161,2.0,11.8,MontroseBeach201405310500,579.5,1
132,Calumet Beach,2014-05-31T05:00:00,16.7,1.58,1.526,0.134,3.0,11.6,CalumetBeach201405310500,550.3199999999999,1
133,Montrose Beach,2014-05-31T06:00:00,15.9,3.11,1.411,0.163,3.0,11.8,MontroseBeach201405310600,583.94,1
134,Calumet Beach,2014-05-31T06:00:00,17.0,2.2,1.515,0.127,3.0,11.6,CalumetBeach201405310600,548.3,1
135,Montrose Beach,2014-05-31T07:00:00,16.0,3.16,1.448,0.147,3.0,11.8,MontroseBeach201405310700,562.14,1
136,Calumet Beach,2014-05-31T07:00:00,16.8,1.68,1.464,0.118,3.0,11.6,CalumetBeach201405310700,528.72,1
137,Montrose Beach,2014-05-31T08:00:00,16.0,3.18,1.401,0.138,3.0,11.8,MontroseBeach201405310800,548.72,1
138,Calumet Beach,2014-05-31T08:00:00,17.0,1.7,1.516,0.113,3.0,11.6,CalumetBeach201405310800,525.3,1
139,Montrose Beach,2014-05-31T09:00:00,16.2,3.07,1.421,0.145,3.0,11.8,MontroseBeach201405310900,562.78,1
140,Calumet Beach,2014-05-31T09:00:00,17.1,1.62,1.498,0.1,3.0,11.6,CalumetBeach201405310900,507.48,1
141,Montrose Beach,2014-05-31T10:00:00,16.5,2.88,1.412,0.144,3.0,11.8,MontroseBeach201405311000,566.52,1
142,Calumet Beach,2014-05-31T10:00:00,17.4,1.66,1.503,0.097,3.0,11.6,CalumetBeach201405311000,509.14,1
143,Montrose Beach,2014-05-31T11:00:00,16.8,2.91,1.442,0.158,4.0,11.8,MontroseBeach201405311100,596.64,1
144,Calumet Beach,2014-05-31T11:00:00,17.8,1.76,1.518,0.096,3.0,11.6,CalumetBeach201405311100,516.04,1
145,Montrose Beach,2014-05-31T12:00:00,17.3,2.49,1.395,0.131,2.0,11.8,MontroseBeach201405311200,558.46,1
146,Calumet Beach,2014-05-31T12:00:00,18.0,1.31,1.492,0.109,2.0,11.6,CalumetBeach201405311200,534.74,1
147,Montrose Beach,2014-05-31T13:00:00,17.6,2.85,1.431,0.15,3.0,11.8,MontroseBeach201405311300,597.4,1
148,Calumet Beach,2014-05-31T13:00:00,18.4,1.31,1.539,0.106,3.0,11.6,CalumetBeach201405311300,541.24,1
149,Calumet Beach,2014-05-31T14:00:00,19.2,1.19,1.531,0.115,3.0,11.6,CalumetBeach201405311400,570.26,1
150,Montrose Beach,2014-05-31T14:00:00,19.2,3.57,1.395,0.156,3.0,11.8,MontroseBeach201405311400,641.28,1
151,Calumet Beach,2014-05-31T15:00:00,19.3,1.25,1.514,0.11,2.0,11.6,CalumetBeach201405311500,562.0,1
152,Montrose Beach,2014-05-31T15:00:00,19.7,3.68,1.458,0.158,2.0,11.7,MontroseBeach201405311500,651.72,1
153,Montrose Beach,2014-05-31T16:00:00,20.1,3.11,1.454,0.215,4.0,11.8,MontroseBeach201405311600,748.94,1
154,Calumet Beach,2014-05-31T16:00:00,19.8,1.16,1.533,0.166,2.0,11.6,CalumetBeach201405311600,655.64,1
155,Montrose Beach,2014-05-31T17:00:00,19.4,2.54,1.435,0.243,2.0,11.8,MontroseBeach201405311700,768.6600000000001,1
156,Calumet Beach,2014-05-31T17:00:00,20.3,1.27,1.509,0.158,2.0,11.6,CalumetBeach201405311700,654.0799999999999,1
157,Calumet Beach,2014-05-31T18:00:00,21.0,1.65,1.515,0.226,3.0,11.6,CalumetBeach201405311800,774.6,1
158,Montrose Beach,2014-05-31T18:00:00,18.4,2.64,1.427,0.218,2.0,11.8,MontroseBeach201405311800,711.56,1
159,Calumet Beach,2014-05-31T19:00:00,20.6,1.43,1.483,0.18,3.0,11.6,CalumetBeach201405311900,696.72,1
160,Montrose Beach,2014-05-31T19:00:00,19.5,3.82,1.385,0.205,3.0,11.8,MontroseBeach201405311900,721.78,1
161,Calumet Beach,2014-05-31T20:00:00,20.4,1.38,1.426,0.156,3.0,11.6,CalumetBeach201405312000,656.52,1
162,Montrose Beach,2014-05-31T20:00:00,18.1,2.66,1.409,0.211,3.0,11.8,MontroseBeach201405312000,698.14,1
163,Montrose Beach,2014-05-31T21:00:00,17.7,2.49,1.38,0.22,3.0,11.8,MontroseBeach201405312100,702.96,1
164,Calumet Beach,2014-05-31T21:00:00,20.3,1.77,1.468,0.178,3.0,11.6,CalumetBeach201405312100,689.0799999999999,1
165,Calumet Beach,2014-05-31T22:00:00,19.6,1.43,1.477,0.177,3.0,11.6,CalumetBeach201405312200,672.22,1
166,Montrose Beach,2014-05-31T22:00:00,17.0,2.18,1.373,0.2,3.0,11.8,MontroseBeach201405312200,657.72,1
167,Calumet Beach,2014-05-31T23:00:00,19.2,1.38,1.501,0.163,3.0,11.6,CalumetBeach201405312300,643.02,1
168,Montrose Beach,2014-05-31T23:00:00,16.7,2.09,1.392,0.204,3.0,11.8,MontroseBeach201405312300,657.36,1
169,Calumet Beach,2014-06-01T00:00:00,19.3,1.56,1.474,0.173,3.0,11.6,CalumetBeach201406012400,660.74,1
170,Montrose Beach,2014-06-01T00:00:00,16.3,2.04,1.394,0.194,2.0,11.7,MontroseBeach201406012400,631.1600000000001,1
171,Calumet Beach,2014-06-01T01:00:00,19.1,1.43,1.469,0.16,3.0,11.6,CalumetBeach201406010100,636.72,1
172,Montrose Beach,2014-06-01T01:00:00,16.2,1.95,1.412,0.191,3.0,11.8,MontroseBeach201406010100,627.3,1
173,Montrose Beach,2014-06-01T02:00:00,16.0,1.7,1.438,0.192,3.0,11.7,MontroseBeach201406010200,623.8,1
174,Calumet Beach,2014-06-01T02:00:00,18.6,1.37,1.523,0.17,3.0,11.6,CalumetBeach201406010200,641.48,1
175,Calumet Beach,2014-06-01T03:00:00,18.2,1.45,1.502,0.183,3.0,11.6,CalumetBeach201406010300,653.3,1
176,Montrose Beach,2014-06-01T03:00:00,15.7,1.16,1.386,0.186,3.0,11.7,MontroseBeach201406010300,606.64,1
177,Montrose Beach,2014-06-01T04:00:00,15.4,0.86,1.419,0.176,3.0,11.7,MontroseBeach201406010400,584.44,1
178,Calumet Beach,2014-06-01T04:00:00,17.9,1.56,1.473,0.17,3.0,11.6,CalumetBeach201406010400,628.24,1
179,Calumet Beach,2014-06-01T05:00:00,17.8,1.65,1.477,0.174,3.0,11.6,CalumetBeach201406010500,632.6,1
180,Montrose Beach,2014-06-01T05:00:00,15.3,0.62,1.399,0.162,3.0,11.7,MontroseBeach201406010500,560.48,1
